,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
81815,81816,B005CUU25G,A23HNW1ZWMFAYD,Dr. A Will,4,4,5,1333324800,I love it,"I am a veterinarian with 7 years experience, and I have 3 Great Danes.  I am always looking for safe, effective, fun, and innovative new pet products.  I saw the video for this product, and definitely agree that carrying a pocketful of crumbling treats isn't much fun for training/rewards, so decided to give it a try.  All 3 of my girls tried to bite the bottle at first (and I think most dogs will), but within a few seconds, all of them figured it out, and were licking away very happily, each taking their turn sitting down for me.  I also recently used it to help keep them standing still while my 8 year old daughter gave them baths outside with the hose on a nice warm day....much less mess than doing it in the tub inside!  It was also handy when we went for a short hike at a local park a while back, as I am training the 2 younger Danes to wear backpacks (that's a whole other story!).  Even if the dogs jump in the river wearing their backpacks and get them soaked, their treats won't get soggy.  The only thing I would like to see is using a liquid treat that's maybe a bit healthier for them...the ingredient list on the Lickety Stik looks like a lot of processed stuff.  It does have a bit of an odor, too, but I didn't find it that strong or offensive like some of the other people here did.  And I think it's the odor that really draws the dogs to come check it out...otherwise, why would they want to just lick a plastic roller ball?<br />Also, I think it would be nice to have a bottle that is just a little bit larger for the large/giant breeds like mine...but this does work well regardless.  Finally, I think it would be great to have a refillable bottle, so there would be less waste...500 licks goes fast when you're training 3 big dogs!<br />Oh, and yes, I will re-order this, and do recommend it."
2590,2591,B000EGX2EG,AT6DCRS3681Y8,"Elvin Weatherly ""pacer nut""",0,0,5,1170288000,They're So Good They Evaporate,"This product is excellent. It's also a nut snack that my wife, who has celiac disease, and is allergic to wheat and glueton can enjoy. I however can eat anything and this is the tastiest and most unique nut snack I've ever tried.  Al & Virginia Weatherly  53996 Luzerne Dr. Macomb, Mi 48042"
275207,275208,B000CQID7E,AEQ2FNJSVBJKI,"Brad Finkelstein ""bearsfan""",3,3,5,1275350400,delicious dessert tea,"This is my favorite tea ever, I drink it daily iced. It has a nutty rich flavor almost like a coffee. I used to drink Celestial Seasonings Dessert Teas but as usual another company has discontinued the products. I originally ordered a cse of this from Stash last year and was hooked and hopefully they won't take it off the market. It seems like all that's out there is fruit flavored teas, which I don;t like, so if you like a rich bakery flavor tea, this one is it."
35099,35100,B001FA1LL6,A3DAWJC3155MNK,Karen Q Russell,0,0,5,1309737600,Great Decaf,"We first tasted this coffee at a B&B. I couldn't believe it was decaf. As soon as we got home I ordered it, and all my friends love it too! It is the first decaf I've ever had that really tastes like real coffee."
310215,310216,B000G7VYTS,A1VRJDJRSA6UYB,C. Liebendorfer,0,1,5,1209859200,I'm addicted,I am hopelessly addicted to these jalape&ntilde;o pieces. Someone help me. I need some kind of medication to wean me off of them.
504987,504988,B003DVMYUW,AR6EV7R1XPBG1,"Christy ""The Manic Crafter""",0,0,5,1327363200,Too Costly Here,"Love love love Ideal and I was hoping that this being Amazon and all that the price would be comparable to getting it at the one local store here that carried it, but imagine my shock when it's double the cost here online for a baking bag :::sigh:::"
351898,351899,B007HP6TVU,A17HUNR8HP7S5,Will Work For Tea,0,0,5,1346025600,Fantastic flavored matcha & it's sugar-free!,"Let me first tell you that before I was turned on to Read Leaf Tea, I would sometimes put in some good quality caramel sauce into my matcha lattes as a treat - I really do love good caramel flavoring! Thanks to this company, I don't have to do that anymore - AND I can control the sugar amount!<br /><br />Upon pouring out the contents of the robustly-flavored Caramel Green Matcha from the non-resealable, gold foil packaging into the tin, I could smell the sweetness of caramel. I HAD to make a bowl right then and there!<br /><br />For this first preparation I sifted a teaspoon of matcha powder into my bowl - I highly recommend doing this! Without it, you risk the chance of having clumpy matcha, and no one wants that! I wisked in two ounces of warmed water with my electric frother until the matcha was fully dissolved. Filled the bowl with the rest of the warmed water, about 6 ounces worth.<br /><br />I found the caramel missing an element - maybe it's sweetness, which is something I usually associate with caramel. While Red Leaf Tea doesn't add any sugar to their matchas, I found this benefited from some added sweetener.<br /><br />I also think I might prefer the Caramel Matcha prepared as a sweeter latte - either hot or cold.<br /><br />I do look forward to playing around with the Caramel Matcha more - mixing it with other flavored matchas from this company. Caramel Cheesecake, Caramel Green Apple, Caramel Espresso, Caramel Vanilla, just to name a few! Oooo and I bet baking with this is going to be AMAZING!"
504345,504346,B004YGQPAK,A30TUN35ZE3NEU,Enamelation !,0,0,3,1320192000,nothing too much to say,It's a candy.  It really sticks to your teeth.  The taste of honey is not so apparent as the taste of the corn sugar shell.  The nutrients included are there in small amounts.  I can't see this boosting your health or energy unless you ate a whole pack and then you'd feel the sugar high.  It says Energy in it's name.  20 calories per piece.  5 grams of sugar carb does have energy in it.<br /><br />Not bad not great.
293726,293727,B002AS6M0W,A2FKM9Z7TF456C,"Matthew B. Collum ""Matty C""",0,0,5,1334016000,Smooth and Delicious Chocolate,These chocolates were creamy and smooth. The small bite size circles allowed for quick treats and accompanied milk quite well. I like these a lot more than a Hershey's Bar.
354371,354372,B001EO5WR2,ASV8G5H9IHXJM,LTUCK,4,4,1,1300492800,Too Expensice,"This is an INSANE price for this item.  The product is great, but only costs about $4/jar at the grocery,so $12 for a three pack.  Save your money and go to the grocery!!"
431391,431392,B000EVIDWW,A28C6L6BEV9UG2,Ryan T,1,1,5,1174435200,Thank you Glutino,"Was pleasantly surprised how delicious these pretzels are and there is no odd aftertaste as with some gluten free products.  Perfect for munching and the pretzel sticks stay fresh in the bag for quite a while, that is if you can resist finishing the bag.  Would purchase again."
419497,419498,B0029ZAOW8,A1XUBAZHHWNZDS,"Rebecca Bryant ""Becca""",0,0,4,1346976000,get a boost,"When i first received this product i was nervous to try it but after hitting amed day slump one afternoon i decided to try it. my first time using it I was really surprised by how much energy i had with no side effects. plus i didn't come down hard off the energy of it like others or have to run to ythe batroom every five minutes to pee like with coffee. Not sure I buy it all the time as it does get expensive but a definite once or twice a week use isn't bad.<br /><br />""I received a free sample of 5-Hour ENERGY® from Smiley360."""
244361,244362,B0030VBQ5Y,A2HTY2NPARONVH,C. Jones,0,0,5,1323302400,Our son loves these!,He loves the fact he can quickly feed himself or do it while he's doing something else. He also likes the flavor. They are very easy to take anywhere and have a quick snack for him.
155256,155257,B000GAT6NG,A90GVYBAXMSKM,"Pollyanna ""littleinstature""",0,0,5,1337558400,My Favorite,"I have tried several different brands and up to this point, NUTIVA is my favorite.  I have been using this for several years.  Great for cooking and for health purposes just eating off the spoon is not bad."
352193,352194,B002R8IR12,A1PP46S01HXSZJ,Tim Stark,1,1,1,1274486400,Pemmican original beef jerky,I am a regular consumer of pemmican jerky but this batch that I bought from amazon should have been destroyed.
407166,407167,B00503DOWS,ARYSDAZNRXN6G,A. Crafton,1,1,3,1313712000,Better than junk food but not a regular snack item for me,"Before I go into the thrashing of ingredients, I must admit these taste *really good*. They smell good too, when you first open them. Like actual oatmeal raisin cookies! The texture is nice and soft, with a walnut crunch. These are higher quality bars than most. Unlike most snack bars, they don't leave an unpleasant taste in your mouth afterwards. I do not like oatmeal raisin cookies, but I did enjoy eating one of these bars for testing. I actually ate the entire thing and was surprised at what a quality product it was. (Heated in the microwave--out of the wrapper-for a few seconds, it was almost like a cookie straight out of the oven!)<br /><br />Having said that; they have 24 grams of carbohydrates per bar and 2 grams of fiber. I was surprised that they only had 9 g of sugars considering the second ingredient (agave) is the equivalent to corn syrup. Yes yes I know, ""It's natural!"" But look and see how it's processed, it's no different. One has a health label and the other doesn't. For those watching their sugars, they are the same and should be noted.<br /><br />If you are on a gluten-free diet because of health reasons, you will really enjoy these bars! If you are gluten free and also sugar-free, these aren't going to be a regular item for you. If you want a delicious snack bar that tastes pretty close to homemade, and you don't label your eating style, then you will like these bars! One bar is filling and delicious. Soft raisins and crunchy walnuts, if you are going to buy ANY snack bars, these are worth the money over other grocery store products!"
165967,165968,B0009F3SA0,A3VKQD1UZ1A66Y,T. Ogaard,0,3,1,1330905600,Horrible stuff,"This is the polar opposite of Sleepytime tea. I had one cup last night, and I laid in bed and didn't fall asleep till well after midnight, and then kept waking up every few minutes after that. Worst sleep I have gotten in my entire life! I'm going back to Sleepytime tea. At least that stuff works."
268462,268463,B000LKTQAE,A2CP3QUJ7TMYS9,"C. Ellis ""Luwee's Mom""",1,1,3,1343520000,Energy Pro,"Ordered this for my Husband back in June and he said they were all flat.  It taste as if the cans had been opened and left in the frig.  We are going to try one more time, maybe we just got a bad batch.  Will come back and let you know.  I don't know how long they stay in the warehouse, we'll see."
204347,204348,B006N3I79Y,A2DQW8FVUIN9S5,C. Petruzelli,0,0,5,1348617600,Great coffee!,"This is a great tasting coffee. It does not taste like decaf, it is very full and flavorful! I will definitely get the coffee again."
196014,196015,B001HTI7QM,A1PDSOTIRL4Q3O,Moonbeam,1,2,4,1270166400,Very Light Taste with No Sugar Rush!,"Although each can contains 44g of sugar, this soda does not cause tooth pangs nor taste overly sweet. There is a light, ""clean"" flavor to it as opposed to the more heavy, lab-created orange flavor of other sodas. The soda lacks any hint of mango flavor, but the orange flavor is nice without any medicinal sweetness to it. Unfortunately, some of the cans arrived with puffy tops and dents."
24616,24617,B0047E2I5U,A34I9JUNXEUWFE,AP,1,1,5,1313366400,Our Mini Schnauzer loves this!,"If you had a lot of lamb in your life you'd be impressed with how ""lammy"" this dog food smells. Our little dog absolutely loves it too. Why wouldn't he?<br /><br />A hidden advantage of using this food is that you don't have to pick up much poo at all. Because this food is nearly twice as concentrated as kibble you'd only be picking up about half as much poo, which is a good benefit. Also, it takes up half as much space in your storage.<br /><br />An all around winner which more than makes up for the small premium in price."
472509,472510,B005VOOL00,A23KA66VAK9PUA,"S. Sigley ""plant lady""",2,4,3,1337212800,"Mild, Weak","Even though it says it's a medium roast, it's more mild and weak flavored. Would definitely have to use more pods to get better flavor. My son also tried it and used 2 pods for a 16 oz to go cup. He agreed it was weak but also commented that it had an odd flavor note to it."
269728,269729,B0001GDC4O,A2IVH1D3GLACL3,Melody,0,0,5,1272499200,Fresh/Stale,Some of these espresso pods were fresh and some were stale.<br /><br />Fresh pods smelled like Folgers.  Stale pods smelled like stale Folgers. They make okay espresso.<br /><br />I will give Illy and other brands a try.
71853,71854,B001E52VLG,A3N041QAKY7BVW,SJ06830,4,4,4,1216857600,Delish!,"Juicy flavor and natural taste, yum!  Only complaint is that the color is intense - stains counters if you spill the powder and can stain teeth if you drink too much.  Wish Crystal Light used less coloring!"
470427,470428,B000FBQ56M,A1SU1ANQEEI0UN,"Phillip ""Phillip""",0,0,5,1234051200,Love these cookies!,"These cookies are just wonderful!!! The chocolate is deep, dark, rich and melts very nicely in your mouth.  I would say that it is a bittersweet chocolate and very finely made. These cookies give the chocolate lover a satisfying chocolate experience. Do not hesitate to buy them!"
558479,558480,B000GW68Z8,A3H78TFMNNZTWX,Gayle Bryant,0,0,5,1297814400,From Boring to Outstanding,"The coffee at the office is totally boring.  I see dozens of employees bringing in their Starbucks each morning.  Using this product with the coffee provided for me at work makes it bearable, even really good.  I was getting alarmed when I couldn't find it in the grocery store, so I have the auto shipment from Amazon and have really discovered it is the little things in life that make it bearable."
295679,295680,B0017TX3VG,AIPT0A4UNNAPR,animal health,0,0,1,1299715200,Terrible,This product was irradiated for preservation.  I personnally don't like this type of method and consider that my dog deserves a better treat for his good behavior and certainly for his health.
457629,457630,B0026RHUOE,A33ISHD3HH6UX1,"pd ""electronics geek""",0,1,5,1295481600,Best formula,Hi I am using this ready to feed formula since 5 and 1/2 months. My son was given this formula in the hospital as there were some initial problems and he immediately liked it. Then I had switched him to the powdered one which gave him colic for one and half month which I did not realise was a reason until someone pointed out the same problems with her kiddo. I had tried the Similac and nestle Goodstart powder but my son would not take the Similac and had severe spit up with nestle good start. Once I switched him to this ready to feed formula he was a different person and had no more problems.<br /><br />Pros<br />1. Easy to use as ready to feed and also helps when travelling.<br />2. No colic problems with my son.<br />3. Must be close to breastmilk as my son never says no for this one.<br />4. Also available in 6oz and 8oz sizes.<br /><br />Cons<br />1. Expensive<br />2. Small shelf life once opened.<br />3. 32 oz cans do not come in a bottle or can that can be closed so I had to get the lids which I could only find on amazon so that I can put the open ones in the  refrigerator.<br />4. Very hard to pour into the bottle without spilling.
12657,12658,B000FKL0EU,A3N8UDT2FH8M59,Sean Evers Mcsherry,5,6,1,1305158400,Horrible now,I enjoyed these mints for many years... They are now terrible because of the changes that Wrigley has made to them.  Get rid of the color and put back the flavor.  I will not buy them again unless they are changed back.
300238,300239,B001Q9EGFE,A30652X50TLEUZ,"M. Lewis ""booklover""",0,1,4,1270857600,My 4 cats like it,"As far as taste goes, they all come running when they hear me opening the package.  I can't vouch for the teeth cleaning properties, as it appeared to me they were mostly swallowing them after a couple of bites.  I keep snacks to a minimum to prevent obesity.  What we need is a flavorful chew for cats they could mouth real well.  I have a couple that would chew them, cleaning their teeth without a lot of calories."
477075,477076,B0001M11NC,AWDBD2WH0IS9H,M.,0,0,5,1346976000,Awesome product!,Not only do I love the nutty flavor of this product but it just enhances virtually anything I eat it with.  And it keeps me full longer.  Super product.
177532,177533,B004U49QU2,A398R165PXFOSS,"Mental Mommy ""Mental Mommy""",1,1,4,1309305600,Grab your milk and prepare!,"These cookies are a lot richer than I anticipated!  I was expecting half-hearted ""megafudge"" and while it doesn't run out of the cookies, the cookies themselves are so rich that the fudge that *is* in the middle is still more than adequate.  Sit down with 2 cookies and big ol' glass of milk and enjoy!  Just make sure you have a napkin handy because they are super soft and will crumble if you're heavy-handed or if they're warmed (YUM!).  My husband said he could eat the whole package in a single sitting with a gallon of milk!  They're THAT good!"
138009,138010,B000H226N0,A1GBU479WXR7UG,"Lloyd W. Hayes ""Lloyd""",0,0,5,1345939200,Great tasting,"I don't have time for much shopping, and finding any sassafras drink is nearly impossible for me. Ordering this from Amazon saves me time and and gas money. It tastes good too. I mix it into a Mr. Beer bottle, then carbonate it with the Fizz-Giz Soda Maker. In this manor I am controlling what the sweetener is and how much I use. The sweetener that you use will make a big difference taste."
221118,221119,B000SR10YA,AKH4BTY3E72VJ,T. H. Johnson,0,0,5,1333584000,Only daifuku I like!,I've tried a variety of Daifuku and Melon is the only flavor I love. The Rice cake is mildly sweet with a thick jelly like texture you can squeeze in your hands with a light corn starch coating so it won't stick everywhere. The Melon filling is sweet with a light melon flavor sort of like gum that you can't chew. I don't know if I'm turning you on or off to the product but it's very delicious and sometimes I like to eat the filling separate from the cake. They are both quite good on their own and neither overpowers the other in flavor.
198244,198245,B0000DGF9V,A3SL2OTAFCVUEU,"Richard G. Cooley ""RICK""",7,10,5,1140912000,LOVING EVERY MINUTE OF IT!,"EXC. TREE DELEVERED IN EXC. SHAPE. GOING ON 4 MONTHS HAVEN'T LOST A LEAF. DID SOAK IT WELL 1ST DAY THEN PLACED IN WATER HOLDING CONTAINER (HIGHLY RECOMEND). KEEP CONTAINER WITH WATER IN IT AT ALL TIMES, YOULL BE SURPRISED AT HOW MUCH WATER THE TREE WILL ABSORB. PLACED IN WINDOW GETS GREAT AFTERNOON SUNLIGHT. AN I USE SPRAY BOTTLE TO WATER THE TREES, MIST EM ,AN SPRAY THE SOIL.  HOPE THIS IS HELPFULL ."
30401,30402,B003X7S45U,A2BI8390N0S75Q,spoofty,0,0,2,1350604800,Sadly not what I was hoping for,So I'm a deployed soldier and there's a disappointing lack of any pumpkin here. I bought this so I could have that nice fall pumpkin coffee experience. I was sad to discover that this tastes not evenly remotely like pumpkin. The shipping time was the only thing that pleased me about this order.
500529,500530,B003QNLUTI,A1T0RXF5BXPRWO,Ummmm....,0,0,4,1295913600,"Great stuff...little bottle, big effect (long shipping time though)","I love 5 hour energy.  It makes sense that some will enjoy the effects and other will not, as we all react differently.  I also agree that it has a decreasing return, even moreso than you experience with caffiene.  So one a day is plenty, and anything after that just gives you heartburn.  My only gripe is this seller's long shipping time.  I love amazon prime because of the 2-day shipment (otherwise I'd just go to the store), but, as this isn't fulfilled by amazon, it has taken over a week to actually receive the product."
