"Progress","Duration (in seconds)","Finished","Gender","Age","Year","Year_7_TEXT","Language","ControlQ","TreatmentQ","Q1","Q2","Q3","Q4","Q5","B1","B2","B3","B4","Compliance1","SC0","treated"
"100","316","TRUE","Female",25,"Master or equivalent","","No","I have a peace lily in my bedroom","","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Sunshine Plant","Can be planted it in vermin manure, wipe and clean it every week","No","Smartphone","Yes","Afternoon (12pm - 6pm)","Yes","4",0
"100","305","TRUE","Male",23,"Master or equivalent","","No","","bedroom plant converts co2 to oxygen at night due to big leaf","2 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Living Room Plant","Must be planted in clean water, wipe and clean it every day","No","Computer","Yes","Morning (6am-12pm)","Yes","2",1
"100","259","TRUE","Male",21,"Junior","","Yes","","If the research behind the plants's oxygen production is true more people should be made aware about it.","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every week","No","Smartphone","Yes","Evening (6pm - 12pm)","Yes","5",1
"100","171","TRUE","Female",27,"Master or equivalent","","No","I have Stuckyi in my home.","","3 kinds","Mother-in-law's Tongue","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every week","No","Smartphone","No","Afternoon (12pm - 6pm)","No","4",0
"100","275","TRUE","Female",48,"Other","Some college","Yes","Sadly I have no plants inside. My cats eat them.","","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every week","No","Smartphone","Yes","Morning (6am-12pm)","Yes","5",0
"100","222","TRUE","Male",25,"Master or equivalent","","Yes","A lot of plants, but I don't know much about them.","","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every month","No","Computer","Yes","Afternoon (12pm - 6pm)","Yes","4",0
"100","247","TRUE","Female",20,"Freshman","","Yes","","After watching this video, I have a deeper appreciation for plants. I personally do not have any plants in my house but maybe I will consider buying one after this video.","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Must be planted in clean water, wipe and clean it every day","No","Smartphone","Yes","Afternoon (12pm - 6pm)","Yes","4",1
"100","148","TRUE","Male",21,"Master or equivalent","","No","the video is talking about three green plant that can grow the fresh air we need indoors","","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Living Room Plant","Can be planted it in vermin manure, wipe and clean it every month","No","Computer","Yes","Afternoon (12pm - 6pm)","Yes","3",0
"100","70","TRUE","Female",23,"Junior","","No","","it is great","2 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Bedroom Plant","Can be planted it in vermin manure, wipe and clean it every week","No","Smartphone","No","Morning (6am-12pm)","No","3",1
"100","254","TRUE","Female",21,"Master or equivalent","","No","","There are so many kinds of plants","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every week","No","Smartphone","Yes","Evening (6pm - 12pm)","Yes","5",1
"100","175","TRUE","Female",24,"Other","大四","No","被照顾的挺好","","3 kinds","Areca Palm","The speaker introduced several plants that are easy to grow at home","The Sunshine Plant","Can be planted it in vermin manure, wipe and clean it every month","No","Smartphone","Yes","Morning (6am-12pm)","No","1",0
"100","314","TRUE","Female",32,"Phd or equivalent","","No","","Growing green plants can help breathing fresh air.","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Sunshine Plant","Can be planted it in vermin manure, wipe and clean it every month","No","Smartphone","Yes","Evening (6pm - 12pm)","Yes","3",1
"100","63","TRUE","Male",24,"Master or equivalent","","No","","Interesting toopic","2 kinds","Money Plant","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Must be planted in clean water, wipe and clean it every day","No","Smartphone","No","Night (12pm-6am)","No","2",1
"100","46","TRUE","Male",22,"Sophomore","","Yes","no","","1 kind","Money Plant","The speaker introduced several plants that can decorates home","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every month","Yes","Tablets (iPad etc.)","No","Evening (6pm - 12pm)","Yes","1",0
"100","157","TRUE","Female",21,"Master or equivalent","","No","My hometown has a really hot seasonality and the plants there are well adapted to the weather.","","3 kinds","Mother-in-law's Tongue","The speaker introduced several plants that can decorates home","The Bedroom Plant","Must be planted in clean water, wipe and clean it every day","No","Tablets (iPad etc.)","Yes","Afternoon (12pm - 6pm)","No","1",0
"100","1599","TRUE","Female",22,"Master or equivalent","","No","Phalaenopsis，chlorophytum comosum，karlenchoe","","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every week","Yes","Computer","Yes","Evening (6pm - 12pm)","No","5",0
"100","180","TRUE","Female",19,"Freshman","","No","tomatoes","","3 kinds","Money Plant","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every month","No","Smartphone","No","Evening (6pm - 12pm)","Yes","3",0
"100","194","TRUE","Female",22,"Master or equivalent","","No","","Plants can be used like air refresher. It's interesting.","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Living Room Plant","Can be planted in water, you don't have to wipe or clean it.","No","Computer","Yes","Evening (6pm - 12pm)","Yes","3",1
"100","346","TRUE","Male",24,"Master or equivalent","","No","there are some green plants without flowers in our lounge","","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Living Room Plant","Must be planted in clean water, wipe and clean it every day","No","Smartphone","No","Afternoon (12pm - 6pm)","Yes","3",0
"100","290","TRUE","Male",24,"Senior","","No","","areca plant can remove co2 and produce oxygen. Good","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Living Room Plant","Must be planted in clean water, wipe and clean it every day","No","Computer","No","Afternoon (12pm - 6pm)","Yes","3",1
"100","598","TRUE","Male",23,"Other","none","No","","Interesting","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Sunshine Plant","Can be planted it in vermin manure, wipe and clean it every week","No","Smartphone","No","Evening (6pm - 12pm)","Yes","4",1
"100","2668","TRUE","Female",23,"Senior","","No","","I start to get interested in these three types of plants and would like to try to grow them at home. I'm also curious about the Mother-in-law's Tongue. I wonder how does it convert CO2 to oxygen at night without sunlight. Furthermore, I  wonder how do the names of mother-in-law's Tongue and money plant come from. ","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every month","No","Computer","Yes","Evening (6pm - 12pm)","Yes","4",1
"100","103","TRUE","Male",23,"Master or equivalent","","No","","academic should be driven by self","3 kinds","Gladiolus","The speaker introduced several plants that are easy to grow at home","The Specialist Plant","Must be planted in clean water, wipe and clean it every day","No","Smartphone","No","Morning (6am-12pm)","Yes","3",1
"100","128","TRUE","Female",24,"Master or equivalent","","No","","Two kinds of plants that placed in the living room","3 kinds","Gladiolus","The speaker introduced several plants that can grow fresh air","The Specialist Plant","Can be planted it in vermin manure, wipe and clean it every month","No","Smartphone","Yes","Afternoon (12pm - 6pm)","No","4",1
