,ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response,reviews
10,1994	1983	Graduation	Married		1	0	15-11-2013	11	5	5	6	0	2	1	1	1	0	2	7	0	0	0	0	0	0	3	11	0,I love the BIG flakes of this coconut. It is perfect in homemade granola or for a snack for children.
11,387	1976	Basic	Married	7500	0	0	13-11-2012	59	6	16	11	11	1	16	1	2	0	3	8	0	0	0	0	0	0	3	11	0,"I gave this product a 4 star rating for several reasons.  I have never tried any other mixes nor have I made my own yet.  My daughter has a problem with wheat and I am attempting new things first for myself to see what I could feed her without her becoming discourage about certain types of food.  My daughter is only 19 months.<br /><br />First you should know I made this in a counter top oven/ toaster oven (black and decker x-large oven) in a 9x9 square analon (dark pan) so I used the 325 degree setting.  I kept a very close eye on this cake, because I didn't want to dry it out knowing it was going to be a totally different texture cake then I am normally used to with wheat.  It turned out good when I only left it in for around 21-25 minutes and then took it out and tested it with a toothpick in the middle (it came clean). Remember my heating elements are close to the food in this oven and it is a small cooking area.  I did exactly as the recipe called with the butter, vanilla, water and 3 eggs(egglands best x-tra large).<br /><br />The texture and aroma reminded me a little of corn muffin.  It isn't a complete texture like that but if I would have kept it in any longer it would have dried out and possibly tasted moreso like corn muffin.  I didn't mind it... I was really expecting something really different and possibly something I would totally snub.  But Hope is there.  It really wasn't bad.  I like vanilla cake over chocolate, so I would definatlely do it again.  It may be really good with a fruit, like cherry pie filling and COOL WHIP (NOT SURE IF EITHER IS GF).  I used the betty crocker ""fluffy white"" frosting which is also gluten free.<br /><br />GIVE THIS A CHANCE.  YOU MIGHT REALLY LIKE IT.  IF IT DIDN'T WORK OUT THE FIRST TIME AND YOU WANT TO PUT FORTH THE EFFORT AND TRY IT AGAIN KEEP AN EYE ON THIS ONE WHILE IN THE OVEN AND PULL IT OUT SOONER CAUSE YOU DON'T WANT TO DRY IT OUT.  I ALSO REMOVED IT FROM THE PAN WITHIN 5 MINUTES OUT OF THE OVEN, SO IT WOULDN'T CONTINUE TO COOK IN THE PAN.  I HOPE THIS HELPS.  BEST WISHES AND GOOD LUCK.<br /><br />IF ANYONE TRIES OR HAS TRIED THIS USING OIL INSTEAD OF BUTTER, LET ME KNOW HOW IT CAME OUT.  I'M SURE THERE IS A GOOD REASON WHY BETTY CROCKER WANTS US TO USE THE BUTTER.  I WOULD ALSO BE INTERESTED IN KNOWING IF THEY ARE PRODUCING THIS PRODUCT IN A GLUTEN FREE FACILITY.  MAYBE THEIR WEBSITE WILL TELL US SOMETHING ABOUT IT.  I'LL HAVE TO CHECK IT OUT SOON."
12,2125	1959	Graduation	Divorced	63033	0	0	15-11-2013	82	194	61	480	225	112	30	1	3	4	8	2	0	0	0	0	0	0	3	11	0,We always order our coffee KCUPS from Gloria Jeans and experience quick deliveries.  Quality of the product is never an issue and is what we expect
13,8180	1952	Master	Divorced	59354	1	1	15-11-2013	53	233	2	53	3	5	14	3	6	1	5	6	0	0	0	0	0	0	3	11	0,"We have a Breville Barista espresso machine which we use daily. I've had to cut back on caffeine so we switched to decaf beans. I was hesitant, but these beans are working out great for us. Wonderful, rich flavor and every bit as good as their fully leaded cousins. Great option for coffee junkies who need to back off the buzz!"
14,2569	1987	Graduation	Married	17323	0	0	10-10-2012	38	3	14	17	6	1	5	1	1	0	3	8	0	0	0	0	0	0	3	11	0,"These pretzels are so good - so much like the ""real thing"" for those of us who cannot eat gluten -(wheat,barley,rye and oats).  We recommend them highly!"
15,2114	1946	PhD	Single	82800	0	0	24-11-2012	23	1006	22	115	59	68	45	1	7	6	12	3	0	0	1	1	0	0	3	11	1,"I bought this coffee after reading all the reviews. My initial impression was that this coffee was good (not excellent). Quickly, however, I realized that this coffee does not make me jittery (I'm very sensitive to caffeine). Also, this coffee does not have the bitter after taste. I think I'll definitely purchase this coffee again!"
16,9736	1980	Graduation	Married	41850	1	1	24-12-2012	51	53	5	19	2	13	4	3	3	0	3	8	0	0	0	0	0	0	3	11	0,"I am allergic to gluten and love tomato soup. I normally buy the Roasted Red Pepper but when I wnet to order it was out of stock so took a chance and tried this. I tipped the bowl to get the last drop it was that good,  You won't be dissappointed and if you crush fresh basil and top with sour cream and cheese it is a gormet meal."
17,4939	1946	Graduation	Together	37760	0	0	31-08-2012	20	84	5	38	150	12	28	2	4	1	6	7	0	0	0	0	0	0	3	11	0,"These granola bars are awesome.  They're slightly bigger than the standard Quaker granola bar, so the perfect adult snack size.  They are filled with all kinds of healthy, organic deliciousness and the pumpkin spice is tasty.  Not overwhelming, but enough to give it that something special."
18,6565	1949	Master	Married	76995	0	1	28-03-2013	91	1012	80	498	0	16	176	2	11	4	9	5	0	0	0	1	0	0	3	11	0,"Great product but made in China. Once I realized this after purchase, I got a little worried. Kind of over priced in the regular retail market. My dogs like it & have been ok but I wish I knew ahead of time where it was made."
19,2278	1985	2n Cycle	Single	33812	1	0	03-11-2012	86	4	17	19	30	24	39	2	2	1	3	6	0	0	0	0	0	0	3	11	0,"I am a long-time fan of beef jerky, since I was a kid reading about its origins.  Too often, commercially available jerky is just so much crap; poor quality, no taste, lousy texture, etc.  Usually, the only good stuff you can find is with small ""boutique"" (boy, that seems out of place!) vendors, the kind you mind find at good ""county fairs"".  The only really good jerky I've ever purchased was from Bread & Circus in the early '90s...<br /><br />This jerky is pretty close.  Very good texture (if you like it moist), and little gristle.  Very nice flavor, and some spice - mind you, I really like it hot, so for those who like things milder or moderate, this is probably near or beyond your limits.  The only jerky I know that is hotter is my homemade version using Mad Dog Inferno!<br /><br />Great Product!"
20,9360	1982	Graduation	Married	37040	0	0	08-08-2012	41	86	2	73	69	38	48	1	4	2	5	8	0	0	0	0	0	0	3	11	0,"These mints are awesome, eating them with a Crunch bar made me realize they should really make mint Crunch bars."
21,5376	1979	Graduation	Married	2447	1	0	06-01-2013	42	1	1	1725	1	1	1	15	0	28	0	1	0	0	0	0	0	0	3	11	0,Well what can you say about this wonderful food...I love it...While not the best for you ...it is great tasteing...Yummmy
22,1993	1949	PhD	Married	58607	0	1	23-12-2012	63	867	0	86	0	0	19	3	2	3	9	8	0	1	0	0	0	0	3	11	0,"I had tried this coffee before, it is wonderful.  Smooth and rich, full flavored, but not too bold. I would recommend it to anyone."
23,4047	1954	PhD	Married	65324	0	1	11-01-2014	0	384	0	102	21	32	5	3	6	2	9	4	0	0	0	0	0	0	3	11	0,"I gave this as a gift to my mother; when she poured hot water into the little glass pot that comes with the set it cracked from the temperature shock. The water wasn't even boiling. We used a clear Pyrex measuring cup; not as aesthetic, but it can take the heat.<br /><br />The tea tastes very good, so it still has that going for it. The flavors are not the usual ones you see in the grocery store, but they have some very interesting and subtle things going on in them.<br /><br />It might be best to buy just the tea on it's own, and find some other clear pot."
24,1409	1951	Graduation	Together	40689	0	1	18-03-2013	69	270	3	27	39	6	99	7	7	1	5	8	0	0	0	0	0	0	3	11	0,I have always enjoyed Earl Grey tea because of the flavor of Bergamot.  I was pleased to find that there is this version of Earl Grey with Double Bergamot which only enhances the flavor!  I love this tea and believe anyone who enjoys Earl Grey will love this as well.
25,7892	1969	Graduation	Single	18589	0	0	02-01-2013	89	6	4	25	15	12	13	2	2	1	3	7	0	0	0	0	0	0	3	11	0,"It's  a great gluten free snack to have with you when you don't know what's available for you in the ""gluten free""  zone.  Some restaurants have gluten free food, some don't. At least you won't go hungry.  It's a delicious power bar snack.  Easy to have with you and much more affordable to buy online than in the store."
26,2404	1976	Graduation	Married	53359	1	1	27-05-2013	4	173	4	30	3	6	41	4	5	1	4	7	0	0	0	0	0	0	3	11	0,This is the best lemon cookie that I have ever tasted.  I bought a box at a Ross store and then never saw the product again.  I went on to Amazon and bought a case three weeks ago.  Between my friends and I they are gone.<br />I am going to buy another case.
27,5255	1986	Graduation	Single		1	0	20-02-2013	19	5	1	3	3	263	362	0	27	0	0	1	0	0	0	0	0	0	3	11	0,This is one of a couple spices I've ordered from CuisineMentor and they all have been great.  The flavor of grilled chicken is terrific.
28,9422	1989	Graduation	Married	38360	1	0	31-05-2013	26	36	2	42	20	21	10	2	2	1	4	3	0	0	0	0	0	0	3	11	0,The bones are just ok. My Boston puppy liked them but they are really messy and crumble easy. Also dog lost interest in them after the second bone.
29,1966	1965	PhD	Married	84618	0	0	22-11-2013	96	684	100	801	21	66	0	1	6	9	10	2	0	0	1	0	0	0	3	11	0,"This is hands-down our family's favorite jerky.  It is very flavorful and peppery but not hot (original flavor).  If you like gooey jerky, you probably won't like this.  If you like jerky that doesn't leave your fingers greasy but is a touch on the dry side - try it.<br /><br />I also have to say that I love these small, convenient 1oz single size servings - they are easy to slip into a bag and make a great afternoon snack."
30,6864	1989	Master	Divorced	10979	0	0	22-05-2014	34	8	4	10	2	2	4	2	3	0	3	5	0	0	0	0	0	0	3	11	0,"I am a veterinarian with 7 years experience, and I have 3 Great Danes.  I am always looking for safe, effective, fun, and innovative new pet products.  I saw the video for this product, and definitely agree that carrying a pocketful of crumbling treats isn't much fun for training/rewards, so decided to give it a try.  All 3 of my girls tried to bite the bottle at first (and I think most dogs will), but within a few seconds, all of them figured it out, and were licking away very happily, each taking their turn sitting down for me.  I also recently used it to help keep them standing still while my 8 year old daughter gave them baths outside with the hose on a nice warm day....much less mess than doing it in the tub inside!  It was also handy when we went for a short hike at a local park a while back, as I am training the 2 younger Danes to wear backpacks (that's a whole other story!).  Even if the dogs jump in the river wearing their backpacks and get them soaked, their treats won't get soggy.  The only thing I would like to see is using a liquid treat that's maybe a bit healthier for them...the ingredient list on the Lickety Stik looks like a lot of processed stuff.  It does have a bit of an odor, too, but I didn't find it that strong or offensive like some of the other people here did.  And I think it's the odor that really draws the dogs to come check it out...otherwise, why would they want to just lick a plastic roller ball?<br />Also, I think it would be nice to have a bottle that is just a little bit larger for the large/giant breeds like mine...but this does work well regardless.  Finally, I think it would be great to have a refillable bottle, so there would be less waste...500 licks goes fast when you're training 3 big dogs!<br />Oh, and yes, I will re-order this, and do recommend it."
31,3033	1963	Master	Together	38620	0	0	11-05-2013	56	112	17	44	34	22	89	1	2	5	3	3	0	0	0	0	0	0	3	11	0,"This product is excellent. It's also a nut snack that my wife, who has celiac disease, and is allergic to wheat and glueton can enjoy. I however can eat anything and this is the tastiest and most unique nut snack I've ever tried.  Al & Virginia Weatherly  53996 Luzerne Dr. Macomb, Mi 48042"
32,5710	1970	Graduation	Together	40548	0	1	10-10-2012	31	110	0	5	2	0	3	2	2	1	4	5	0	1	0	0	0	0	3	11	0,"This is my favorite tea ever, I drink it daily iced. It has a nutty rich flavor almost like a coffee. I used to drink Celestial Seasonings Dessert Teas but as usual another company has discontinued the products. I originally ordered a cse of this from Stash last year and was hooked and hopefully they won't take it off the market. It seems like all that's out there is fruit flavored teas, which I don;t like, so if you like a rich bakery flavor tea, this one is it."
33,7373	1952	PhD	Divorced	46610	0	2	29-10-2012	8	96	12	96	33	22	43	6	4	1	6	6	0	0	0	0	0	0	3	11	1,"We first tasted this coffee at a B&B. I couldn't believe it was decaf. As soon as we got home I ordered it, and all my friends love it too! It is the first decaf I've ever had that really tastes like real coffee."
34,8755	1946	Master	Married	68657	0	0	20-02-2013	4	482	34	471	119	68	22	1	3	5	9	7	0	0	0	0	0	0	3	11	0,I am hopelessly addicted to these jalape&ntilde;o pieces. Someone help me. I need some kind of medication to wean me off of them.
35,10738	1951	Master	Single	49389	1	1	29-08-2013	55	40	0	19	2	1	3	1	2	0	3	7	0	0	0	0	0	0	3	11	0,"Love love love Ideal and I was hoping that this being Amazon and all that the price would be comparable to getting it at the one local store here that carried it, but imagine my shock when it's double the cost here online for a baking bag :::sigh:::"
36,4339	1970	PhD	Married	67353	0	1	31-12-2013	37	702	17	151	0	8	35	5	5	6	12	2	0	0	0	0	0	0	3	11	0,"Let me first tell you that before I was turned on to Read Leaf Tea, I would sometimes put in some good quality caramel sauce into my matcha lattes as a treat - I really do love good caramel flavoring! Thanks to this company, I don't have to do that anymore - AND I can control the sugar amount!<br /><br />Upon pouring out the contents of the robustly-flavored Caramel Green Matcha from the non-resealable, gold foil packaging into the tin, I could smell the sweetness of caramel. I HAD to make a bowl right then and there!<br /><br />For this first preparation I sifted a teaspoon of matcha powder into my bowl - I highly recommend doing this! Without it, you risk the chance of having clumpy matcha, and no one wants that! I wisked in two ounces of warmed water with my electric frother until the matcha was fully dissolved. Filled the bowl with the rest of the warmed water, about 6 ounces worth.<br /><br />I found the caramel missing an element - maybe it's sweetness, which is something I usually associate with caramel. While Red Leaf Tea doesn't add any sugar to their matchas, I found this benefited from some added sweetener.<br /><br />I also think I might prefer the Caramel Matcha prepared as a sweeter latte - either hot or cold.<br /><br />I do look forward to playing around with the Caramel Matcha more - mixing it with other flavored matchas from this company. Caramel Cheesecake, Caramel Green Apple, Caramel Espresso, Caramel Vanilla, just to name a few! Oooo and I bet baking with this is going to be AMAZING!"
37,10755	1976	2n Cycle	Married	23718	1	0	02-09-2013	76	6	3	14	15	7	36	3	3	1	2	7	0	0	0	0	0	0	3	11	0,It's a candy.  It really sticks to your teeth.  The taste of honey is not so apparent as the taste of the corn sugar shell.  The nutrients included are there in small amounts.  I can't see this boosting your health or energy unless you ate a whole pack and then you'd feel the sugar high.  It says Energy in it's name.  20 calories per piece.  5 grams of sugar carb does have energy in it.<br /><br />Not bad not great.
38,8595	1973	Graduation	Widow	42429	0	1	11-02-2014	99	55	0	6	2	0	4	2	1	1	3	5	0	0	0	0	0	0	3	11	0,These chocolates were creamy and smooth. The small bite size circles allowed for quick treats and accompanied milk quite well. I like these a lot more than a Hershey's Bar.
39,2968	1943	PhD	Divorced	48948	0	0	01-02-2013	53	437	8	206	160	49	42	2	7	10	5	6	1	0	0	0	0	0	3	11	1,"This is an INSANE price for this item.  The product is great, but only costs about $4/jar at the grocery,so $12 for a three pack.  Save your money and go to the grocery!!"
40,8601	1980	Graduation	Married	80011	0	1	29-04-2013	3	421	76	536	82	178	102	2	8	6	5	4	0	0	0	0	0	0	3	11	0,"Was pleasantly surprised how delicious these pretzels are and there is no odd aftertaste as with some gluten free products.  Perfect for munching and the pretzel sticks stay fresh in the bag for quite a while, that is if you can resist finishing the bag.  Would purchase again."
41,503	1985	Master	Married	20559	1	0	12-03-2013	88	13	1	29	3	0	7	2	2	0	3	8	0	0	0	0	0	0	3	11	0,"When i first received this product i was nervous to try it but after hitting amed day slump one afternoon i decided to try it. my first time using it I was really surprised by how much energy i had with no side effects. plus i didn't come down hard off the energy of it like others or have to run to ythe batroom every five minutes to pee like with coffee. Not sure I buy it all the time as it does get expensive but a definite once or twice a week use isn't bad.<br /><br />""I received a free sample of 5-Hour ENERGY® from Smiley360."""
42,8430	1957	Graduation	Together	21994	0	1	24-12-2012	4	9	0	6	3	1	3	1	0	0	3	5	0	0	0	0	0	0	3	11	0,He loves the fact he can quickly feed himself or do it while he's doing something else. He also likes the flavor. They are very easy to take anywhere and have a quick snack for him.
43,7281	1959	PhD	Single		0	0	05-11-2013	80	81	11	50	3	2	39	1	1	3	4	2	0	0	0	0	0	0	3	11	0,"I have tried several different brands and up to this point, NUTIVA is my favorite.  I have been using this for several years.  Great for cooking and for health purposes just eating off the spoon is not bad."
44,2139	1975	Master	Married	7500	1	0	02-10-2013	19	3	1	10	3	2	12	3	2	0	3	5	0	0	0	0	0	0	3	11	0,I am a regular consumer of pemmican jerky but this batch that I bought from amazon should have been destroyed.
45,1371	1976	Graduation	Single	79941	0	0	28-06-2014	72	123	164	266	227	30	174	1	2	4	9	1	0	0	0	0	0	0	3	11	0,"Before I go into the thrashing of ingredients, I must admit these taste *really good*. They smell good too, when you first open them. Like actual oatmeal raisin cookies! The texture is nice and soft, with a walnut crunch. These are higher quality bars than most. Unlike most snack bars, they don't leave an unpleasant taste in your mouth afterwards. I do not like oatmeal raisin cookies, but I did enjoy eating one of these bars for testing. I actually ate the entire thing and was surprised at what a quality product it was. (Heated in the microwave--out of the wrapper-for a few seconds, it was almost like a cookie straight out of the oven!)<br /><br />Having said that; they have 24 grams of carbohydrates per bar and 2 grams of fiber. I was surprised that they only had 9 g of sugars considering the second ingredient (agave) is the equivalent to corn syrup. Yes yes I know, ""It's natural!"" But look and see how it's processed, it's no different. One has a health label and the other doesn't. For those watching their sugars, they are the same and should be noted.<br /><br />If you are on a gluten-free diet because of health reasons, you will really enjoy these bars! If you are gluten free and also sugar-free, these aren't going to be a regular item for you. If you want a delicious snack bar that tastes pretty close to homemade, and you don't label your eating style, then you will like these bars! One bar is filling and delicious. Soft raisins and crunchy walnuts, if you are going to buy ANY snack bars, these are worth the money over other grocery store products!"
46,9909	1996	2n Cycle	Married	7500	0	0	09-11-2012	24	3	18	14	15	22	50	3	3	1	3	9	0	0	0	0	0	0	3	11	1,"This is the polar opposite of Sleepytime tea. I had one cup last night, and I laid in bed and didn't fall asleep till well after midnight, and then kept waking up every few minutes after that. Worst sleep I have gotten in my entire life! I'm going back to Sleepytime tea. At least that stuff works."
47,7286	1968	Graduation	Together	41728	1	0	24-05-2013	92	13	6	15	3	5	13	1	2	0	2	10	0	0	0	0	0	0	3	11	0,"Ordered this for my Husband back in June and he said they were all flat.  It taste as if the cans had been opened and left in the frig.  We are going to try one more time, maybe we just got a bad batch.  Will come back and let you know.  I don't know how long they stay in the warehouse, we'll see."
48,7244	1951	Graduation	Single		2	1	01-01-2014	96	48	5	48	6	10	7	3	2	1	4	6	0	0	0	0	0	0	3	11	0,"This is a great tasting coffee. It does not taste like decaf, it is very full and flavorful! I will definitely get the coffee again."
49,6566	1954	PhD	Married	72550	1	1	08-11-2012	39	826	50	317	50	38	38	9	5	2	12	8	0	0	0	0	0	0	3	11	0,"Although each can contains 44g of sugar, this soda does not cause tooth pangs nor taste overly sweet. There is a light, ""clean"" flavor to it as opposed to the more heavy, lab-created orange flavor of other sodas. The soda lacks any hint of mango flavor, but the orange flavor is nice without any medicinal sweetness to it. Unfortunately, some of the cans arrived with puffy tops and dents."
50,8614	1957	Graduation	Widow	65486	0	1	12-05-2014	29	245	19	125	37	67	14	1	4	2	10	2	0	0	0	0	0	0	3	11	0,"If you had a lot of lamb in your life you'd be impressed with how ""lammy"" this dog food smells. Our little dog absolutely loves it too. Why wouldn't he?<br /><br />A hidden advantage of using this food is that you don't have to pick up much poo at all. Because this food is nearly twice as concentrated as kibble you'd only be picking up about half as much poo, which is a good benefit. Also, it takes up half as much space in your storage.<br /><br />An all around winner which more than makes up for the small premium in price."
51,4114	1964	Master	Married	79143	0	0	11-08-2012	2	650	37	780	27	167	32	1	6	9	13	3	0	0	0	0	0	0	3	11	0,"Even though it says it's a medium roast, it's more mild and weak flavored. Would definitely have to use more pods to get better flavor. My son also tried it and used 2 pods for a 16 oz to go cup. He agreed it was weak but also commented that it had an odd flavor note to it."
52,1331	1977	Graduation	Single	35790	1	0	02-01-2013	54	12	6	20	30	1	3	2	2	0	3	7	0	0	0	0	0	0	3	11	0,Some of these espresso pods were fresh and some were stale.<br /><br />Fresh pods smelled like Folgers.  Stale pods smelled like stale Folgers. They make okay espresso.<br /><br />I will give Illy and other brands a try.
53,2225	1977	Graduation	Divorced	82582	0	0	07-06-2014	54	510	120	550	156	40	241	1	4	9	7	1	1	0	0	1	0	0	3	11	1,"Juicy flavor and natural taste, yum!  Only complaint is that the color is intense - stains counters if you spill the powder and can stain teeth if you drink too much.  Wish Crystal Light used less coloring!"
54,9381	1978	Graduation	Married	66373	1	1	12-06-2013	57	328	9	124	12	24	109	7	4	2	10	3	0	0	0	0	0	0	3	11	0,"These cookies are just wonderful!!! The chocolate is deep, dark, rich and melts very nicely in your mouth.  I would say that it is a bittersweet chocolate and very finely made. These cookies give the chocolate lover a satisfying chocolate experience. Do not hesitate to buy them!"
55,6260	1955	Master	Together	82384	0	0	19-11-2012	55	984	51	432	180	120	190	1	3	10	13	1	0	0	1	0	0	0	3	11	1,"The coffee at the office is totally boring.  I see dozens of employees bringing in their Starbucks each morning.  Using this product with the coffee provided for me at work makes it bearable, even really good.  I was getting alarmed when I couldn't find it in the grocery store, so I have the auto shipment from Amazon and have really discovered it is the little things in life that make it bearable."
56,10383	1966	Graduation	Divorced	70287	0	0	02-04-2013	30	295	35	482	121	120	40	1	5	5	10	3	0	0	0	0	0	0	3	11	1,This product was irradiated for preservation.  I personnally don't like this type of method and consider that my dog deserves a better treat for his good behavior and certainly for his health.
57,7437	1988	Graduation	Single	27938	1	0	28-04-2014	31	13	0	8	2	1	5	1	1	0	4	3	0	0	0	0	0	0	3	11	0,Hi I am using this ready to feed formula since 5 and 1/2 months. My son was given this formula in the hospital as there were some initial problems and he immediately liked it. Then I had switched him to the powdered one which gave him colic for one and half month which I did not realise was a reason until someone pointed out the same problems with her kiddo. I had tried the Similac and nestle Goodstart powder but my son would not take the Similac and had severe spit up with nestle good start. Once I switched him to this ready to feed formula he was a different person and had no more problems.<br /><br />Pros<br />1. Easy to use as ready to feed and also helps when travelling.<br />2. No colic problems with my son.<br />3. Must be close to breastmilk as my son never says no for this one.<br />4. Also available in 6oz and 8oz sizes.<br /><br />Cons<br />1. Expensive<br />2. Small shelf life once opened.<br />3. 32 oz cans do not come in a bottle or can that can be closed so I had to get the lids which I could only find on amazon so that I can put the open ones in the  refrigerator.<br />4. Very hard to pour into the bottle without spilling.
58,8557	1982	Graduation	Single		1	0	17-06-2013	57	11	3	22	2	2	6	2	2	0	3	6	0	0	0	0	0	0	3	11	0,I enjoyed these mints for many years... They are now terrible because of the changes that Wrigley has made to them.  Get rid of the color and put back the flavor.  I will not buy them again unless they are changed back.
59,8375	1968	PhD	Married	55954	0	1	03-03-2014	63	447	0	28	0	0	43	3	8	2	6	7	0	0	0	0	0	0	3	11	0,"As far as taste goes, they all come running when they hear me opening the package.  I can't vouch for the teeth cleaning properties, as it appeared to me they were mostly swallowing them after a couple of bites.  I keep snacks to a minimum to prevent obesity.  What we need is a flavorful chew for cats they could mouth real well.  I have a couple that would chew them, cleaning their teeth without a lot of calories."
60,6853	1982	Master	Single	75777	0	0	04-07-2013	12	712	26	538	69	13	80	1	3	6	11	1	0	1	1	0	0	0	3	11	1,Not only do I love the nutty flavor of this product but it just enhances virtually anything I eat it with.  And it keeps me full longer.  Super product.
61,3076	1975	Graduation	Together	66653	1	1	07-09-2012	18	452	18	102	16	18	6	4	4	2	12	3	0	0	0	0	0	0	3	11	0,"These cookies are a lot richer than I anticipated!  I was expecting half-hearted ""megafudge"" and while it doesn't run out of the cookies, the cookies themselves are so rich that the fudge that *is* in the middle is still more than adequate.  Sit down with 2 cookies and big ol' glass of milk and enjoy!  Just make sure you have a napkin handy because they are super soft and will crumble if you're heavy-handed or if they're warmed (YUM!).  My husband said he could eat the whole package in a single sitting with a gallon of milk!  They're THAT good!"
